Post title,Post link,Created date,Impressions,Views,Click through rate (CTR),Engagement rate,Count
"As more states invest in nuclear to meet their unprecedented power demands, competition to lead the nation's next energy revolution is heating up! That's why Virginia Energy is leaving no stone unturned as we work to identify and support innovative energy technologies and initiatives. 

https://lnkd.in/emMzHaj2 
 
#nuclear #energy #innovation",https://www.linkedin.com/feed/update/urn:li:activity:7269803024913424384,12/03/2024,547,,3.8%,6.0%,1
"The U.S. is 100% import-reliant on a dozen critical minerals—but Virginia is helping change that. Through expanded geologic surveying alongside investments in advanced mineral processing and innovative technologies, we’re working to turn Virginia’s natural resources into a foundation for secure, domestic supply chains.

Explore the critical minerals with high commercial potential in Virginia at https://lnkd.in/ewJH_xD4
",https://www.linkedin.com/feed/update/urn:li:activity:7353771124100399107,07/23/2025,549,,4.9%,6.0%,1
Natural gas plays a critical role in Virginia's all-of-the-above energy strategy and contributes significantly to our thriving economy!  #energywrapped #wrapped2024,https://www.linkedin.com/feed/update/urn:li:activity:7276944890914123776,12/23/2024,385,,2.6%,6.0%,1
"""Being home to the nuclear navy; being the home to a utility that operates the only two commercial scale nuclear reactors with 80 year licenses; being home to universities that press the envelope on our thinking; being home to the greatest to the greatest workforce in the nation; and being home to a state that, yes, was named by CNBC as the best state for doing business—we are poised to take this giant step with our partners.""

- Governor Glenn Youngkin on this week's exciting announcement from Amazon Web Services (AWS) & Dominion Energy of their pursuit of a nuclear energy project that could result in Virginia achieving its goal of being the first state to deploy an SMR.

The governor's comments begin at 44:30 in the video below.

https://lnkd.in/d32ms_z9",https://www.linkedin.com/feed/update/urn:li:activity:7253052379346915328,10/18/2024,353,,3.1%,5.9%,1
"Virginia Energy Solar Program Manager Aaron Berryhill co-led a first-of-its-kind study at Virginia Commonwealth University assessing the land use impacts of solar development across the Commonwealth. This work helps ensure Virginia can meet its energy goals while balancing agricultural, environmental, and community needs—making solar growth smarter, more strategic, and more sustainable as part of our all-of-the-above plan for Virginia's energy future. 

https://ow.ly/XX8r50VCpaI",https://www.linkedin.com/feed/update/urn:li:activity:7320054048177414144,04/21/2025,2177,,3.4%,5.9%,1
"Are you interested in shaping the future of solar and energy efficiency initiatives in Virginia? Well, here's your chance to help! Virginia Energy is seeking individuals to participate in our Virginia Energy Workforce and Solar for All advisory groups. For more information on how to get involved and how to submit a letter of interest, visit: https://lnkd.in/exKFH25D",https://www.linkedin.com/feed/update/urn:li:activity:7250143842249621504,10/10/2024,644,,4.0%,5.9%,1
"Virginia’s local governments are facing rising energy costs, aging infrastructure, and increasing demands for resilience. The good news? Proven state programs already exist to help.

At our upcoming workshop on May 20th, facility managers and local leaders will learn how to cut energy costs, modernize public buildings, and even generate new revenue—without spending upfront capital. Join us to explore practical solutions that are working across Virginia and hear directly from peers who are putting them into action.

Learn more and register at https://shr.link/xjdgy ",https://www.linkedin.com/feed/update/urn:li:activity:7327694680312233984,05/12/2025,661,,3.8%,5.9%,1
"Virginia leads the nation in clean energy innovation! Ranked as the #1 state for business, Virginia is attracting pioneering companies and innovative technologies that are redefining safe, carbon-free, and scalable power—reinforcing our role as leaders in technology, energy, and economic opportunity. #FusionEnergy #SiliconValleyEast #Energy #Innovation 

https://ow.ly/jm1X50VfCpI",https://www.linkedin.com/feed/update/urn:li:activity:7305573857208291331,03/12/2025,594,,3.2%,5.9%,1
"When it comes to mine safety and rescue, Virginia leads the way. Virginia Energy's award winning mine rescue team responds to underground mining emergencies, ensuring swift and effective action when every second counts. 

Learn more at: https://lnkd.in/eC6d-4Hi",https://www.linkedin.com/feed/update/urn:li:activity:7332043161139036161,05/24/2025,357,,3.1%,5.9%,1
"Class is now in session! With support from the Virginia Clean Energy Innovation Bank, the nation’s first 12-module SMR simulator—developed by NuScale Power—is now open at George Mason University.",https://www.linkedin.com/feed/update/urn:li:activity:7336723576168873985,06/05/2025,580,,2.8%,5.9%,1
"Virginia Energy is in search of a Title V Enforcement Inspector for the Mine Land Repurposing Program. This position will provide valuable economic development support activities in Southwest Virginia and will serve as the subject matter expert on reclaimed mines sites and post mine land use. Duties include site evaluation and providing technical assistance for development prospects.

Learn more and apply at https://lnkd.in/eJXC8UyV ",https://www.linkedin.com/feed/update/urn:li:activity:7336766388138639360,06/06/2025,190,,1.6%,5.8%,1
"In his latest op-ed, Secretary Juan Pablo Segura warns that Maryland’s recent energy emergency—driven by plant retirements, planning shortfalls, and project delays—shows how quickly a grid can be pushed to the brink. Virginia can’t afford to ignore the warning.

The Secretary’s call to action follows Governor of Virginia Glenn Youngkin and a bipartisan group of governors who, in an open letter to PJM last month, urged reforms to its governance, deployment queue, and the preservation of proven infrastructure until replacements are ready.

https://lnkd.in/ejTnwj8H
",https://www.linkedin.com/feed/update/urn:li:activity:7361071418869981186,08/12/2025,936,,4.6%,5.8%,1
"Are you well-versed in energy policies and experienced in team leadership? Virginia Energy is hiring an Energy Modeling and Advanced Technology Team Lead. If you excel in energy modeling, forecasting, and analyzing advanced technologies including Small Modular Nuclear Reactors (SMRs) and emerging hydrogen energy innovations, this may be a great fit. Join us in advancing Virginia’s energy initiatives.
Learn more at https://lnkd.in/ehfw4raA",https://www.linkedin.com/feed/update/urn:li:activity:7246640401581838336,09/30/2024,312,,3.5%,5.8%,1
"Congratulations to 2025 Grand Champion Wellmore Coal Company LLC  and all the teams who competed in this year’s Governor’s Cup and Overmountain Mine Rescue Competitions!

Ten mine rescue teams from Virginia and surrounding states gathered in Abingdon to put their life-saving skills to the test—navigating realistic underground rescue scenarios, fire suppression drills, and emergency response challenges designed to keep miners safe.

Hosted by Virginia Energy alongside National Mine Rescue Association Post 7, the Metallurgical Coal Producers Association, and the Mine Safety and Health Administration, the events blended hands-on training with fierce competition to strengthen mine safety across the region.

Read the full release:
https://lnkd.in/eZMs4Z7z

Event & Awards Photos:
https://lnkd.in/ehgNPbrd
",https://www.linkedin.com/feed/update/urn:li:activity:7345088902824665089,06/29/2025,278,,4.0%,5.8%,1
"Nuclear is the most powerful and efficient source of clean, emissions-free energy—producing significantly more electricity with less land and fewer resources than any other technology. While renewables are an important part of Virginia's energy future, they can't meet our state's ambitious climate goals and surging energy demands on their own. Smart investments in nuclear infrastructure will ensure Virginia's growing economy has the reliable, clean power it needs to thrive.

#Nuclear #Energy #CleanPower #CleanEnergy

Learn more https://lnkd.in/esRN-dEW",https://www.linkedin.com/feed/update/urn:li:activity:7298325827262296065,02/20/2025,591,,1.9%,5.8%,1
"Innovation isn’t just about technology—it’s about people. With world-class, one-of-a-kind nuclear training tools available only in Virginia, we’re preparing students and professionals for careers in tomorrow’s energy workforce. The SMR Control Room Simulator was made possible through funding from the Virginia Clean Energy Innovation Bank. 

Explore more 2025 successes in our midyear impact report: https://lnkd.in/eSjew43k",https://www.linkedin.com/feed/update/urn:li:activity:7353870319662579713,07/23/2025,505,,2.8%,5.7%,1
"The United States is the world’s leading producer of natural gas. It's available, affordable and reliable, and that is what makes it so versatile. In Virginia, natural gas accounts for over 50% of our electricity generation.  

Learn More: https://lnkd.in/esawrUmt",https://www.linkedin.com/feed/update/urn:li:activity:7299080682973085696,02/22/2025,750,,3.3%,5.7%,1
"Natural gas actually emits about half the CO2 of coal when burned for electricity, making it a cleaner option for reliable power. As Virginia transitions to a more sustainable energy landscape, natural gas plays a vital role in balancing our energy needs while supporting economic growth. Learn more about natural gas energy in Virginia https://ow.ly/zqfy50UqP0p",https://www.linkedin.com/feed/update/urn:li:activity:7280629184656228352,01/02/2025,682,,2.2%,5.7%,1
"With financing from the Virginia Clean Energy Innovation Bank, we’re making it easy for global tech leaders like Commonwealth Fusion Systems and Google to choose Virginia as a home base for groundbreaking projects like the world's first commercial fusion power plant.

Explore more 2025 successes in our midyear impact report: https://lnkd.in/eSjew43k

#Energy #Innovation #FusionPower
",https://www.linkedin.com/feed/update/urn:li:activity:7357394806379008000,08/02/2025,3149,,2.7%,5.7%,1
"“This important funding is already leading to positive changes in our coalfield communities that include Southwest Virginia, parts of the New River Valley, and around Richmond,” said Virginia Energy Director Glenn Davis. 

The Virginia Department of Energy is getting a third round of significant funding to reclaim abandoned mine land features across the Commonwealth. The agency will receive $22,779,530 through the Bipartisan Infrastructure Legislation, leading to more community development projects and job opportunities through the Abandoned Mine Land program. 

The U.S. Department of the Interior (DOI) and Office of Surface Mining Reclamation and Enforcement (OSMRE) made the announcement today that Virginia would receive the funding. The AML program reclaims features left behind by coal mining that occurred before 1977.

Learn more at: https://ow.ly/NIzy50UExYY",https://www.linkedin.com/feed/update/urn:li:activity:7283762118204485632,01/11/2025,789,,1.4%,5.7%,1
"Virginia's power sector has slashed CO2 emissions intensity by over 50% since 2010, outpacing the national average of 37%. Our ""all-of-the-above"" energy strategy embraces nuclear, clean-burning natural gas, renewables, and other innovative technologies and continues to drive us toward an increasingly clean energy future. Virginia remains committed to sustainable progress while ensuring reliable and affordable power for all.

Learn more at https://lnkd.in/d8FJcwa7",https://www.linkedin.com/feed/update/urn:li:activity:7288641766319140865,01/24/2025,882,,2.0%,5.7%,1
"At an event co-hosted by Virginia Energy and Google last week, Virginia Energy Director Glenn Davis spoke on the necessity of close collaboration between private and public sectors in order to build the reliable, affordable, and increasingly clean energy future Virginians deserve. 

 https://lnkd.in/ebwwHbP7",https://www.linkedin.com/feed/update/urn:li:activity:7264699520238641153,11/19/2024,1165,,2.0%,5.7%,1
"A big win for Virginia's reliable energy future! Appalachian Power has identified a potential site for an SMR project in Campbell County and plans to submit applications in the spring of 2025. When it comes to #nuclear #energy #innovation, Virginia leads the way!

https://ow.ly/sgQm50U79JJ",https://www.linkedin.com/feed/update/urn:li:activity:7262874506627633152,11/14/2024,1284,,2.6%,5.6%,1
"At the Virginia Transportation Construction Alliance Annual Meeting, Virginia Energy recognized companies setting the standard for what responsible mining looks like—protecting workers, restoring land, and supporting Virginia’s economy.

This year’s winners represent a cross-section of Virginia’s mineral mining industry, which continues to play a vital role in powering the Commonwealth’s economy. In 2024, Virginia’s mineral mining operations produced more than 70 million tons of materials valued at $1.9 billion (USGS estimate), employed over 10,000 Virginians, and reclaimed nearly 1,500 acres of mined lands—primarily for pasture (49%), commercial use (37%), and forestry (9%).

Congratulations to Iluka Resources Inc., Branscome Operating LLC, Chaney Enterprises LP, Appalachian Aggregates, Salem Stone Corporation., Luck Stone, E. Dillon & Company, Vico Construction Corporation., Stoney Creek Materials, Holcim-Mar, Inc., and USC SALTVILLE BRINE, LLC for their outstanding performance in 2024.

Read the full release at https://lnkd.in/eT9Ndg9t",https://www.linkedin.com/feed/update/urn:li:activity:7342997383930163200,06/23/2025,286,,3.5%,5.6%,1
"As increasing energy demand and political mandates collide with reality, Virginia continues to move forward. We're delivering real results across the Commonwealth through our work to strengthen our grid, advance innovative clean technologies, and support critical industries like mining, data centers, and advanced manufacturing.

Catch up on what's going on in Virginia's energy, mineral, and mining sectors in our latest newsletter https://conta.cc/4lWlbRt
",https://www.linkedin.com/feed/update/urn:li:activity:7361018863326507009,08/12/2025,396,,3.5%,5.6%,1
"This is what happens when energy policy prioritizes ideology over reliability: U.S. Department of Energy (DOE) warns blackout risk could rise 100x by 2030 as states retire sources like gas and nuclear without adequate replacement. Even without retirements, outage risk could rise 30x because planned supply isn’t enough to match rising demand.

The Virginia Clean Economy Act mandates 100% renewables by 2045, and Virginia can’t afford the risks of renewable tunnel vision. Virginia will continue to invest in reliable baseload sources like nuclear and natural gas, alongside renewables and innovative technologies, as part of an all-of-the-above strategy to keep the power on and our communities safe.

Full report at https://lnkd.in/gkjSXWbP
",https://www.linkedin.com/feed/update/urn:li:activity:7348750686580273153,07/09/2025,1549,,4.1%,5.5%,1
ICYMI: Check out the first edition of Virginia Energy's new newsletter https://conta.cc/3TQCTd9 and sign up for updates at https://lnkd.in/emFXwktT,https://www.linkedin.com/feed/update/urn:li:activity:7254944959609417729,10/23/2024,201,,4.0%,5.5%,1
"New funding opportunities for local government cost savings, efficiency, and conservation projects! Virginia Energy is now accepting applications for another round of $1.6 million in block grant awards to support a wide range of local initiatives—from community education programs to energy audits, energy auditor training, and more. 

Learn more at https://lnkd.in/ezm959X6",https://www.linkedin.com/feed/update/urn:li:activity:7288541254714314752,01/24/2025,1262,,2.9%,5.5%,1
"With $1.26 billion in total contracts since 2002,Virginia has the most effective state Energy Savings Performance Contracting program in the nation! Our ESPC team helps state agencies and local governments significantly reduce facility energy costs, with guaranteed savings through innovative partnerships with energy service companies. #energywrapped #wrapped2024",https://www.linkedin.com/feed/update/urn:li:activity:7282018272743448577,01/06/2025,421,,1.2%,5.5%,1
"Currently the U.S. produces less than 5% of the battery-grade graphite and under 25% of the refined rare earths it consumes, leaving us heavily reliant on imports for essential technologies. The federal government is moving to fast-track critical mineral projects and streamline permitting, aligning with steps Virginia has already taken to expand mineral mapping, processing, and regulatory reform.

https://lnkd.in/eh6_GfEr
",https://www.linkedin.com/feed/update/urn:li:activity:7355945326077255680,07/29/2025,645,,3.3%,5.4%,1
"The latest roadmap for America's energy future demonstrates the growing consensus that meeting our energy goals is simply not possible without nuclear, and Virginia is leading the way! The report comes just weeks after Appalachian Power, Amazon Web Services (AWS), Dominion Energy, and the Navy announced plans for SMR deployment in the Commonwealth. 
#nuclearpower #nuclearenergy #innovation
 
https://lnkd.in/evm-jEf6",https://www.linkedin.com/feed/update/urn:li:activity:7264376642007969793,11/18/2024,798,,3.4%,5.4%,1
"First responders depend on data centers to save lives. Data centers depend on reliable power to deliver critical information quickly. When every second counts, our digital infrastructure must operate without interruption. Behind the scenes, an all-of-the-above energy strategy ensures these systems remain operational 24/7, providing the dependable service Virginia can count on.",https://www.linkedin.com/feed/update/urn:li:activity:7320416453218689027,04/22/2025,372,,3.0%,5.4%,1
"""Virginia is the world's leader in data centers, and the Governor has been very clear we're doing to stay that way, which is why we are being proactive now with how we address that power demand, and SMRs are going to be a big part of that solution."" 
Virginia Energy Director Glenn Davis joined 630 WMAL's O'Connor & Company to discuss the impact and outlook of nuclear energy in Virginia following the announcements from the Navy, Amazon, and others earlier this month. Full interview linked below. 

https://lnkd.in/eQWuPTsT",https://www.linkedin.com/feed/update/urn:li:activity:7255941681835921408,10/26/2024,804,,3.1%,5.3%,1
"Virginia continues to ensure nuclear fuel is stored at some of the most advanced facilities in the world—protecting our communities and environment while unlocking the full potential of emissions-free, always-on energy.

Learn more about nuclear energy in Virginia at https://lnkd.in/ekZqhfBJ",https://www.linkedin.com/feed/update/urn:li:activity:7339260758691635200,06/13/2025,599,,3.0%,5.3%,1
"Don't miss another important update on Virginia Energy's energy, mining, mineral, and geology initiatives. Sign up for email alerts to keep up with the progress we're making across the Commonwealth at https://ow.ly/ZHyn50TFPaI",https://www.linkedin.com/feed/update/urn:li:activity:7249065687338336257,10/07/2024,281,,3.2%,5.3%,1
"We can't all be nuclear scientists! Dr. Anne White of MIT breaks down  #fusionenergy in different ways so that anyone can understand just how important fusion is to our #cleanenergy future. And in case you didn't hear, it'll all start right here in Virginia, with the the deployment of the world's first fusion energy plant!

https://lnkd.in/ecCX6mjp

#energy #innovation",https://www.linkedin.com/feed/update/urn:li:activity:7280568677547048961,01/02/2025,660,,3.2%,5.3%,1
"Virginia leads the nation as the #1 state for business thanks to our world-class infrastructure, business-friendly policies, skilled workforce, and reliable, affordable supply of energy. Our all-of-the-above energy approach—built on a solid foundation of nuclear and natural gas—delivers the power businesses need to thrive, attracting investment and fueling economic growth.

Learn more at https://lnkd.in/d8FJcwa7
",https://www.linkedin.com/feed/update/urn:li:activity:7342189970876493825,06/21/2025,660,,2.0%,5.3%,1
"Investments in energy are investments in local talent, good jobs, and a resilient future. From solar installation apprenticeships to nuclear control room simulators, Virginia is building a workforce ready to lead the next phase of our reliable, affordable, and increasingly clean energy future.

https://lnkd.in/eNBhfYJN",https://www.linkedin.com/feed/update/urn:li:activity:7337116343088951296,06/07/2025,740,,2.3%,5.3%,1
"Virginia's expanding manufacturing and technology sectors are driving an unprecedented growth in power demand. Meeting the needs of a growing Virginia requires all-of-the above energy strategy that embraces nuclear, solar, clean gas, wind, and other innovative technologies. 

Learn more about Virginia's Energy future at: energy.virginia.gov",https://www.linkedin.com/feed/update/urn:li:activity:7252770886225661952,10/17/2024,518,,2.1%,5.2%,1
"Mine reclamation isn’t just about land restoration. It's about reinvesting in our communities. In 2019, Virginia Energy worked to reclaim a former iron oxide pigment mine and transform it into what is now Hoover Mountain Bike Area. Today, it's part of New River Trail State Park: a public trail, a geologic teaching site, and a lasting example of how post-mining lands can serve Virginia for generations.

This week, Virginia State Geologist and Virginia Energy Director of Geology and Mineral Resources Matt Heller led a tour of the site for students, professionals, and curious minds—showcasing how reclaimed mine lands can educate, inspire, and connect the next generation to Virginia’s natural resources.
",https://www.linkedin.com/feed/update/urn:li:activity:7357783606901022720,08/03/2025,694,,3.2%,5.2%,1
"This #NationalMinersDay, we're honoring the dedicated men and women who work tirelessly in Virginia's coal and mineral mines. With over 6,000 people producing 10+ million tons of coal, 70+ million tons of minerals, and over $1 billion in economic activity each year, your commitment to safety, hard work, and innovation keeps our Commonwealth moving forward. Thank you for your invaluable contributions to our communities and economic future!",https://www.linkedin.com/feed/update/urn:li:activity:7270859626173104130,12/06/2024,232,82,2.6%,5.2%,1
"Virginia Energy is seeking a dynamic leader to join our agency as a Senior Abandoned Mine Land (AML) Project Manager. This pivotal role will oversee our statewide AML Program, focusing on improving the health and safety of coalfield communities and their environment.

Applications due by March 17th 11:55pm

Apply Here: https://ow.ly/Op2750VhoUO",https://www.linkedin.com/feed/update/urn:li:activity:7305982334145646592,03/13/2025,329,,3.0%,5.2%,1
"Innovation is essential to building a reliable energy future. Renewables play an important role in Virginia’s all-of-the-above strategy, but integrating variable energy sources into our existing grid presents real challenges. This WSJ feature explores how wind and solar can increase blackout risks—and highlights the innovative solutions needed to strengthen reliability as our energy mix evolves.

https://lnkd.in/eyJR_kGf",https://www.linkedin.com/feed/update/urn:li:activity:7337810713899331584,06/05/2025,1110,,4.0%,5.1%,1
"Virginia Energy geologists like Katie Lang and Jenny Meng help protect our communities by providing environmental consultants and scientists with critical information on groundwater location, mineral resource assessments, and geologic hazards.

Learn more about Virginia's geologic features at: https://lnkd.in/eZd8mzjg",https://www.linkedin.com/feed/update/urn:li:activity:7335274328768360450,06/02/2025,526,,1.1%,5.1%,1
"Projects like the Red Jacket Portals reclamation in Buchanan County make Virginia’s communities safer while preserving our natural environment. By securing old mine openings and restoring the surrounding landscape, this work helps protect residents, support wildlife, and maintain the beauty of our Commonwealth.
 
Learn more about Abandoned Mine Land program at https://lnkd.in/eUAgDtBy 
",https://www.linkedin.com/feed/update/urn:li:activity:7292244204943011840,02/02/2025,371,,3.0%,5.1%,1
"A big win for communities near the Claytor Hydroelectric Plan in Pulaski County! By securing the funds needed to update the aging facility, Appalachian Power is helping Virginia maximize the use of its existing energy resources, support local jobs, and ensure communities continue to have the power they need for years to come.

#cleanenergy #hydroelectric #hydropower #virginiaenergy

https://lnkd.in/eM4AsAFc",https://www.linkedin.com/feed/update/urn:li:activity:7239754934475264001,09/11/2024,549,,3.3%,5.1%,1
"Energize your inbox with updates on policy insights, innovative programs, and new initiatives from Virginia Energy!

 https://lnkd.in/emFXwktT
",https://www.linkedin.com/feed/update/urn:li:activity:7293354846001197056,02/06/2025,177,,4.0%,5.1%,1
"Innovative public safety technology company Wrap will bring 126 new jobs to Norton's Project Intersection, a former coal mining site, marking another success for the #AbandonedMineLand Economic Revitalization (AMLER) program! Governor Glenn Youngkin joined local leaders to announce this achievement and highlight the program's effectiveness in transforming abandoned mine lands into economically productive spaces. Office of Surface Mining Reclamation and Enforcement",https://www.linkedin.com/feed/update/urn:li:activity:7270082016224727041,12/04/2024,1406,,1.5%,5.0%,1
"Congratulations to all those recognized for their exemplary safety record and excellence land reclamation at Metallurgical Coal Producers Association  banquet last week! Safety and responsible land management are the foundation of sustainable mining.

 Full details at https://ow.ly/3r1N50TTHQx",https://www.linkedin.com/feed/update/urn:li:activity:7257089258937544704,10/29/2024,238,,1.3%,5.0%,1
"Data centers require reliable baseload power from #nuclear and #naturalgas to ensure financial transactions arrive where they need to, securely and on time. Every time you check your balance or make a payment, data centers are working behind the scenes, keeping banking services running smoothly 24/7 for businesses and the millions of customers who depend on them.",https://www.linkedin.com/feed/update/urn:li:activity:7319434762123702273,04/19/2025,796,,3.4%,5.0%,1
"Virginia Energy's State Energy Office is seeking a Solar Workforce Coordinator to oversee the Solar for All workforce development program, the Clean Energy Business Accelerator, as well as coordinate with the Energy Efficiency Workforce Coordinator to ensure the Commonwealth can deliver on key federal funded projects.

Link to posting: https://lnkd.in/e4v_TxPD",https://www.linkedin.com/feed/update/urn:li:activity:7275133031940599808,12/18/2024,659,,3.3%,5.0%,1
"Earlier this week, a seismometer located at our Charlottesville office's recorded a magnitude 3.0 earthquake in the Central Virginia Seismic Zone. Virginia Energy's detailed geologic mapping provides crucial insights into high strain zones, faults, and rock types in areas where earthquakes occur, supporting a better understanding of seismic activity across the Commonwealth. Learn more about our research on the Central Virginia Seismic Zone at https://lnkd.in/edpuqQ73

Image Source: University of Memphis, Center for Earthquake Research and Information",https://www.linkedin.com/feed/update/urn:li:activity:7326592213415522305,05/09/2025,779,,3.5%,5.0%,1
"Did you feel it? Tuesday, two small earthquakes were recorded near #WyndhamVA, on the eastern edge of the Central Virginia Seismic Zone. Experts in Virginia Energy’s Geology and Mineral Resources Program monitor seismic activity statewide and provide resources like fault maps and earthquake hazard assessments to help communities understand and prepare for these low-magnitude but persistent events.

 Learn more at https://lnkd.in/eS2YrSih",https://www.linkedin.com/feed/update/urn:li:activity:7286397129881706497,01/18/2025,620,,3.5%,5.0%,1
"Industry leaders reinforced why Virginia continues to lead the nation in nuclear power and energy innovation at Nuclear Energy Institute's policy forum this week. Key takeaways further validate our approach on permitting, supply chain development, security, and our commitment to a reliable, affordable, and clean energy future.



??????????????????? ?????? ??????????????????????: From electrification to data centers and EVs, nuclear is central to meeting rising demand without compromising grid resilience.



?Energy supply chain ???? ????????????????: Reshoring our energy infrastructure must be accelerated.



?????????????? ?????????????????????? ???? ????????: As other countries are navigating our increasingly challenging energy landscape, Virginia has become a destination for investment.



?????????????????????????? ????????????: Long-term collaboration—not just off-take agreements—is essential to building a sustainable nuclear future.



??????????????? ?????????????????? ???? ??????: Unfavorable regulatory environments deter investment. Virginia's leadership on this front matters more than ever.



Pictured: Deputy Director Julianne Szyper (Virginia Energy), April Wade (Virginia Nuclear Energy Consortium), and Sarah Marshall (Dominion Energy).",https://www.linkedin.com/feed/update/urn:li:activity:7333129830055530496,05/27/2025,581,,2.2%,5.0%,1
"With a strong focus on nuclear, natural gas, and groundbreaking projects like the world’s first commercial fusion power plant, Virginia is positioning itself at the forefront of the nation’s energy future. As energy demand grows alongside Virginia’s booming population and thriving manufacturing and tech sectors, innovation is key. Virginia's leadership in clean, reliable, and flexible energy solutions will be essential in powering our economy and meeting the needs of our dynamic Commonwealth.

Read More: https://ow.ly/GH1F50UVMy7",https://www.linkedin.com/feed/update/urn:li:activity:7293690739903877120,02/07/2025,1083,,0.8%,5.0%,1
"Modern nuclear reactors aren't like those built 50 years ago. Newly developed passive safety systems, redundant cooling mechanisms, and enhanced control systems are designed to prevent and mitigate accidents before they escalate. 

Learn more at https://lnkd.in/eCsuNVSR",https://www.linkedin.com/feed/update/urn:li:activity:7263683339386073088,11/16/2024,281,,2.5%,5.0%,1
"Do you have experience and expertise in abandoned coal mine reclamation? Virginia Energy is hiring two Abandoned Mine Land Inspectors to lead projects that address public health, safety, and environmental hazards from abandoned coal mine sites. Join us in making a positive impact on Virginia’s environment and communities!

Learn more at  https://lnkd.in/eJsSTpuV",https://www.linkedin.com/feed/update/urn:li:activity:7250596317884747776,10/11/2024,261,,3.4%,5.0%,1
"AI is essential to U.S. national security, driving advancements in data analysis, decision-making, and technological capabilities at unprecedented rates. Virginia continues to leads the nation in this space, delivering the robust and diversified energy strategy required to support AI while making bold investments in energy innovation and infrastructure. Virginia’s ""all-of-the-above"" strategy ensures that the economic benefits of the AI revolution stay in the Commonwealth, while strengthening our nation's digital security infrastructure.

Read more in this op-ed by General Duncan McNabb (Ret.) https://lnkd.in/eT9DGg2R",https://www.linkedin.com/feed/update/urn:li:activity:7290353292851707904,01/29/2025,647,,2.6%,4.9%,1
"Virginia is leading the charge in nuclear innovation—and that means more opportunity for skilled jobs across the Commonwealth. From engineering to operations, the nuclear workforce is growing fast.  #SeeYourselfInNuclear #WorkforceDevelopment #NuclearCareers

https://lnkd.in/eVb_tUE4
",https://www.linkedin.com/feed/update/urn:li:activity:7356753355110580224,07/31/2025,546,,2.6%,4.9%,1
"This week, Governor of Virginia Glenn Youngkin announced that Virginia has surpassed $100 billion in capital investment since 2022—more than the total amount committed between 2014 and 2022! Building on this momentum, Executive Order 49 makes the Made in Virginia Investment Accelerator permanent, streamlining the path for major projects across the Commonwealth.

Virginia Energy is a proud state partner in this initiative, helping accelerate responsible growth through coordinated support on permitting, infrastructure, and workforce development.

https://lnkd.in/eHc8rpNa",https://www.linkedin.com/feed/update/urn:li:activity:7336452304423866369,06/05/2025,669,,2.7%,4.9%,1
"Do you enjoy providing administrative support and collaborating with diverse teams? This is your opportunity to support vital reclamation and mineral resource projects at Virginia Energy! If you have expertise in computer operations, electronic systems, and permit processing, this Program Support Technician role could be the perfect fit.

Learn more at https://lnkd.in/eEPA6kQD",https://www.linkedin.com/feed/update/urn:li:activity:7242563830470295552,09/19/2024,203,,3.9%,4.9%,1
"Expanding clean energy tax credits to include #nuclear #power aligns with the bi-partisan and global consensus on the crucial role of nuclear energy in our energy future. This announcement will bolster Virginia's pursuit of nuclear #innovation as part of its all-of-the-above energy plan, helping to drive down utility costs, create jobs, and increase our energy security. 

https://lnkd.in/eGrbrAqM",https://www.linkedin.com/feed/update/urn:li:activity:7282867467700342784,01/08/2025,469,,1.9%,4.9%,1
"?? Now Open: Request for Information (RFI) ??
Virginia Energy is seeking input from mine operators, tech providers, developers, landowners, and researchers for a new $80M+ program to capture and reuse methane from active and abandoned coal mines in Southwest Virginia. We're looking for insights on tech, sites, barriers, and partnership opportunities.

Responses due July 16. Learn more at https://lnkd.in/eA3Whigx 

#Coal #Mining #Methane #CarbonCapture #CCUS
",https://www.linkedin.com/feed/update/urn:li:activity:7343723474013593601,06/25/2025,920,,2.6%,4.9%,1
"Solar panels harness the Virginia sunshine and wind turbines capture our coastal breeze, but when the sun’s not shining and the wind’s not blowing, nuclear will continue to provide the affordable power needed to keep the lights on! With Virginia's all-of-the-above energy plan, we're building a reliable, affordable, and increasingly clean energy future for the Commonwealth.

Learn more about nuclear's role in Virginia's energy landscape at https://lnkd.in/esRN-dEW
",https://www.linkedin.com/feed/update/urn:li:activity:7360293889888428032,08/10/2025,368,149,2.7%,4.9%,1
"The deadline to submit proposals for the Carbon Storage Feasibility Study grant is January 31! Learn more about this initiative to bring technological advancement, industrial knowledge, and businesses to the #SWVA while reducing emissions. https://ow.ly/Oqq850Upo25",https://www.linkedin.com/feed/update/urn:li:activity:7273059095627149312,12/12/2024,307,,1.6%,4.9%,1
"As energy demand grows, Virginia continues to invest in grid expansion and reliability to keep our communities and critical industries powered. This quick explainer from the U.S. Department of Energy shows why modernizing transmission is key to a stronger, more resilient energy grid. https://lnkd.in/eiCHbnxi 

Learn more about Virginia Energy’s work to strengthen our energy grid at https://lnkd.in/eC9yhDRg",https://www.linkedin.com/feed/update/urn:li:activity:7340377684125868033,06/16/2025,554,,2.2%,4.9%,1
"Natural gas has been a vital component of Virginia's energy mix for nearly a century, providing reliable and affordable power to homes and businesses across the Commonwealth. In fact, natural gas accounts for just over 50% of Virginia's electric capacity, making it the largest single source of energy in the state. https://lnkd.in/esawrUmt",https://www.linkedin.com/feed/update/urn:li:activity:7264110139673079808,11/18/2024,431,,1.9%,4.9%,1
